index,body
175,"['سلام', 'کالا', 'مشکل', 'نداره', 'داد#ده', 'اطلاعات', 'مندرج', 'تطابق', 'محصول', 'نداره', 'رم', 'نوشت#نویس', 'u۳', 'خرید#خر', 'درحالیکه', 'u۱', 'برام', 'ارسال', 'سرعت', 'نوشتن', 'کمتر', 'داره', 'میخواستم', 'u۱بگیرم', 'دیجی', 'کالا', 'قیمت', 'پایین', 'اینو', 'نوشت#نویس', 'u۳', 'انتخاب', 'باقیمت', 'بالا', 'u۱', 'واین', 'واقعا', 'ناراحت']"
176,"['کارت', 'حافظه', 'خرید#خر', 'مشکل', '،', 'دیجی', 'کالا', 'تماس', 'گرفت#گیر', 'شماره', 'مستقیم', 'فروشنده', '(', 'شرکت', 'اوج', 'آرین\u200cپترو', ')', 'تماس', 'فروشنده', '\u200cپاسخگو', 'بلافاصله', 'مشکل', '.', 'تشکر', 'میکنم', 'شرکت', 'اوج', 'آرین', 'دیجیکالا']"
177,"['محصول', 'مدلی', 'انتخاب', 'مدل', 'پایین', 'ارسال', 'اختلاف', '۱۵', 'تومان', 'پایین']"
178,"['بسته', 'کالا', 'ایراد', 'فن', '۶۴', 'گیگا', 'ظرفیت', 'کارت', 'حافظه', '۴۰', 'گیگ', 'نشان', 'داد#ده', '.', 'درخواست', 'مرجوع', 'داد#ده', 'پیگیری', 'جهت', 'رفع', 'مشکل', 'اقدام', 'مثبت', 'صورت', 'گرفت#گیر', 'درخواست', 'مرجوع', 'تایید', 'کرد#کن', 'مبلغ', 'حساب', 'برگ', 'داد#ده', '.']"
179,"['کارت', 'حافضه', '۶۴', 'گیگ', 'گرفت#گیر', 'یو', '۳', 'کلاس', '۱۰', 'سرعت', 'پایین', 'گوش', 'پیام', 'میده', 'سرعت', 'رم', 'پایین', 'رم', 'عوض', 'چیزایی', 'رم', 'نوشته', 'درست', 'نیس', 'اگه', 'کلاس', 'ده', 'یو', '۳', 'باشه', 'سرعت', 'انقدی', 'باشه', 'گوش', 'پیام', 'داد#ده', 'سرعت', 'رم', 'شرایط', 'اخرین', 'خرید#خر', 'دیجی', 'کالا']"
180,"['.', 'صفحه', 'خم', 'لبه', 'بالا', 'قرار', 'میگیره', '.', 'عملکرد', 'قلم', 'تاثیر', 'میذاره', 'قلم', 'نقاط', 'آهن', 'ربا', '#هست', 'کار', 'نمیکنه']"
181,"['کیفیت', 'افتضاح']"
182,"['اوردن', 'تبلت', 'قاب', 'بغل', 'هاش']"
183,"['سلام', 'راضی', '#هست', 'تبلت', 'لنوو', '۷۵۰', 'کارنمیکنه']"
184,"['قیمت', 'مناسبه']"
185,"['افتضاح', 'خواص']"
186,"['جنس', 'نداره']"
187,"['کیفیت', 'پایین', 'ضخامت']"
188,"['بد', 'گلسش', 'شکست#شکن', 'بسته', 'گلس', 'شکسته', 'جایگزین', 'سالم', 'تخفیف', 'خرید#خر']"
189,"['کدر', 'وضوح', 'رنگ', 'صفحه', 'کاهش', 'میکنه']"
190,"['جنس', 'فاقد', 'ارزش', 'گذاریست', 'هیچگونه', 'کارا', 'بنده', 'داشت#دار', '،', 'چنانچه', 'فرصت', 'فرستادن', 'کالا', 'داشت#دار', 'سریعا', 'اقدام', 'میکردم']"
191,"['دستم', 'انگار', 'تازه', 'عقل', 'اومد', 'سر', 'جا', '!', 'اینو', 'سفارش', 'داد#ده', '؟', 'بقیه', 'نخودندم', '؟', 'جر', 'بد', 'خرید#خر', 'دیجی', 'کالا', '!']"
192,"['قلم', 'اصل', 'گوش', 'اصلا', 'کیفیت', 'کار', 'نمیکنه', '!', 'واقعا', 'پشیمونم', 'خرید', '!', 'قبلا', 'یه', 'دیگه', 'قلم', 'گم', 'کرد#کن', 'بازار', 'موبایل', 'قلم', 'کرد#کن', 'مدل', 'اولیه', '!', 'اصلا', '!']"
193,"['عنوان', 'توصیه', 'نمیکنم', 'کیفیت', 'بقیه', 'قلم', 'اصل', 'کمتره', 'فشار', 'حساسیت', 'نداره']"
194,['شکست#شکن']
195,['استفاده']
196,"['دوبارخریدم', 'هردوبارخردشده', 'خوبه', 'مرجوع', 'داره', 'دیجیکالا']"
197,['بدی']
